time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,742.48,742.93,745.81,741.24,-2.03,-0.27,284.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,740.86,745.39,749.64,739.62,2.46,0.33,421.94,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,744.55,739.48,746.84,738.0,-5.91,-0.79,377.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,738.24,739.9,744.55,735.85,0.42,0.06,389.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,741.22,745.16,745.66,740.5,5.26,0.71,333.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,749.53,772.03,779.34,749.53,26.87,3.61,1099.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,772.39,776.45,778.11,769.76,4.42,0.57,588.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,772.85,771.32,772.85,765.48,-5.13,-0.66,393.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,774.23,771.46,777.2,765.36,0.13,0.02,422.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,770.3,767.01,773.32,766.38,-4.45,-0.58,378.37,0.0,0.0,0.0,0.0,0.0,0.0,2,840.4,673.83
2012-09-14,772.92,771.62,775.65,767.24,4.61,0.6,576.45,0.0,0.0,0.0,0.0,0.0,0.0,2,843.58,676.38
2012-09-17,770.22,753.84,770.42,753.26,-17.78,-2.3,413.82,0.0,0.0,0.0,0.0,0.0,0.0,2,844.52,677.14
2012-09-18,751.66,746.96,752.45,744.9,-6.89,-0.91,313.39,0.0,0.0,0.0,0.0,0.0,0.0,2,845.35,677.8
2012-09-19,747.12,751.8,752.43,745.92,4.84,0.65,316.28,0.0,0.0,0.0,0.0,0.0,0.0,2,846.67,678.86
2012-09-20,749.07,736.74,749.07,736.26,-15.07,-2.0,397.09,0.0,0.0,0.0,0.0,0.0,0.0,2,845.73,678.11
2012-09-21,735.95,739.53,744.95,735.2,2.8,0.38,351.28,0.0,0.0,0.0,0.0,0.0,0.0,2,842.13,675.22
2012-09-24,734.77,740.93,743.71,729.2,1.4,0.19,374.93,0.0,0.0,0.0,24.19,36.76,-0.95,2,838.18,672.06
2012-09-25,739.57,740.45,743.48,736.66,-0.48,-0.06,343.29,0.0,0.0,0.0,24.2,32.58,7.45,1,834.76,669.31
2012-09-26,739.69,733.07,741.86,731.98,-7.39,-1.0,292.83,0.0,0.0,0.0,18.91,28.02,0.69,1,830.5,665.89
2012-09-27,732.33,753.9,759.38,732.33,20.83,2.84,617.44,779.83,752.0,724.17,32.58,29.54,38.66,2,829.04,664.73
2012-09-28,748.51,766.43,767.85,748.08,12.53,1.66,630.33,781.35,753.17,724.99,53.83,37.64,86.21,2,828.47,664.26
2012-10-08,765.91,761.09,770.51,756.87,-5.34,-0.7,391.86,782.1,753.96,725.81,61.62,45.63,93.59,2,829.27,664.91
2012-10-09,763.63,775.54,778.46,763.63,14.45,1.9,583.17,784.58,755.76,726.95,72.44,54.57,108.18,2,832.44,667.45
2012-10-10,773.86,775.64,776.47,769.51,0.1,0.01,385.21,786.64,757.55,728.46,79.72,62.95,113.25,2,835.09,669.58
2012-10-11,773.62,769.81,775.76,769.15,-5.83,-0.75,411.83,787.76,758.78,729.81,80.62,68.84,104.19,2,838.76,672.52
2012-10-12,772.55,772.28,779.19,767.22,2.48,0.32,444.87,787.79,758.79,729.8,82.2,73.3,100.02,2,842.39,675.43
2012-10-15,772.94,771.39,774.23,766.17,-0.9,-0.12,299.18,787.0,758.54,730.08,82.63,76.41,95.07,2,845.78,678.14
2012-10-16,770.58,768.25,774.33,766.46,-3.14,-0.41,326.31,786.6,758.39,730.17,80.64,77.82,86.28,2,848.86,680.62
2012-10-17,770.57,769.07,773.34,763.95,0.82,0.11,372.84,786.28,758.27,730.26,76.25,77.29,74.16,2,852.86,683.82
2012-10-18,770.39,777.77,780.59,770.35,8.71,1.13,510.6,787.86,758.81,729.75,80.2,78.26,84.08,2,855.51,685.95
2012-10-19,776.03,773.23,777.72,773.06,-4.54,-0.58,344.88,788.09,758.89,729.68,72.34,76.29,64.43,2,856.26,686.55
2012-10-22,770.56,776.32,777.74,768.75,3.09,0.4,340.82,790.07,760.01,729.95,73.0,75.19,68.63,2,857.95,687.91
2012-10-23,775.67,768.67,777.32,766.95,-7.66,-0.99,335.76,790.76,761.1,731.43,58.12,69.5,35.37,2,857.19,687.3
2012-10-24,766.26,768.61,772.04,765.05,-0.06,-0.01,298.59,791.45,761.94,732.42,48.08,62.36,19.53,2,856.41,686.67
2012-10-25,768.24,762.52,774.72,761.43,-6.09,-0.79,394.88,790.38,763.22,736.07,33.95,52.89,-3.93,2,855.6,686.02
2012-10-26,761.5,750.86,761.79,747.56,-11.66,-1.53,394.32,789.38,763.79,738.21,25.97,43.92,-9.94,2,853.22,684.12
2012-10-29,749.52,748.31,752.07,745.42,-2.55,-0.34,290.09,788.6,764.16,739.72,20.05,35.96,-11.77,2,850.66,682.06
2012-10-30,748.22,748.92,754.18,746.52,0.62,0.08,306.06,787.62,764.58,741.55,16.68,29.54,-9.02,2,848.52,680.34
2012-10-31,748.88,754.35,755.31,745.95,5.43,0.72,316.27,784.32,765.65,746.98,20.33,26.47,8.06,2,846.88,679.03
2012-11-01,754.3,766.74,768.53,754.12,12.38,1.64,501.88,784.16,766.29,748.42,35.54,29.49,47.64,2,845.66,678.05
2012-11-02,766.75,771.8,772.63,764.19,5.07,0.66,399.09,784.59,766.56,748.52,51.26,36.75,80.28,2,845.5,677.92
